Read args from shell script:  Namespace(name='results/mixed_poisson/pplus1pow3//case1/trafo_none/order_4/cells_3/hybridization_global_matfree_cg_warm_up', parameters='hybridization_global_matfree_cg', p=4, gtmg_levels=2, quadrilateral=True, scaling=2.0, deform=0.0, trafo='none', c=3, exact_sol_type='exponential', add_to_quad_degree=[0, 0], projectexactsol=True, log_view=':flames/mixed_poisson/pplus1pow3//case1/trafo_none/order_4/cells_3/hybridization_global_matfree_cg_warm_up_flame.txt:ascii_flamegraph', clean=True, verification=False)

Running:  warm_up

with params:  hybridization_global_matfree_cg

    Residual norms for firedrake_0_ solve.
  right preconditioning
  using UNPRECONDITIONED norm type for convergence test
PC Object: (firedrake_0_) 1 MPI processes
  type: python
    Python: firedrake.HybridizationPC
  Firedrake custom preconditioner HybridizationPC
  Applying hybridization to mixed problem.
  Statically condensing to trace system.
  KSP solver for the multipliers:
  KSP Object: (firedrake_0_hybridization_) 1 MPI processes
    type: cg
    maximum iterations=10000, initial guess is zero
    tolerances:  relative=1e-11, absolute=1e-90, divergence=10000.
    left preconditioning
    using PRECONDITIONED norm type for convergence test
  PC Object: (firedrake_0_hybridization_) 1 MPI processes
    type: python
      Python: firedrake.AssembledPC
    Firedrake custom preconditioner AssembledPC
    PC to apply inverse
    PC Object: (firedrake_0_hybridization_assembled_) 1 MPI processes
      type: jacobi
        type DIAGONAL
      linear system matrix = precond matrix:
      Mat Object: (firedrake_0_hybridization_assembled_) 1 MPI processes
        type: seqaij
        rows=140400, cols=140400
        total: nonzeros=35910000, allocated nonzeros=35910000
        total number of mallocs used during MatSetValues calls=0
          using I-node routines: found 28080 nodes, limit used is 5
    linear system matrix = precond matrix:
    Mat Object: (firedrake_0_hybridization_) 1 MPI processes
      type: python
      rows=140400, cols=140400
          Python: firedrake.matrix_free.operators.ImplicitMatrixContext
        Firedrake matrix-free operator ImplicitMatrixContext
  Locally reconstructing solutions.
  Projecting broken flux into HDiv space.
  linear system matrix = precond matrix:
  Mat Object: (firedrake_0_) 1 MPI processes
    type: python
    rows=874800, cols=874800
        Python: firedrake.matrix_free.operators.ImplicitMatrixContext
      Firedrake matrix-free operator ImplicitMatrixContext
TIMING 6984.495155096054
Solved succesfully.
before M_0 * (M_1).inv * AV_2
after M_0 * (M_1).solve(AV_2)
before M_0 * (M_1).inv * M_3
after M_0 * (M_1).inv * M_3
before M_0 * (M_1).inv * M_3 * AV_4
after M_0 * (M_1).solve(M_3 * AV_4)
before (M_5 + -(M_6 * (M_7).inv * M_8)).solve(AV_9 + -(M_6 * (M_7).inv * AV_10) + -(((M_11).T + -(M_6 * (M_7).inv * (M_12).T)) * AV_13))
after (M_5 + -(M_6 * (M_7).inv * M_8)).solve(AV_9 + -(M_6 * (M_7).solve(AV_10)) + -(((AV_13).T * M_11).T + -(M_6 * (M_7).solve(((AV_13).T * M_12).T))))
before (M_7).solve(AV_10 + -(M_8 * AV_14) + -((M_12).T * AV_13))
after (M_7).solve(AV_10 + -(M_8 * AV_14) + -((AV_13).T * M_12).T)
